fixture_id,league,team_name,team_id,location,real_team_winner,pred_percent_home,pred_percent_draw,pred_percent_away,pred_home_win,pred_home_win_draw,pred_away_win,pred_away_win_draw,predicted_goals_home,predicted_goals_away,pred_draw,Shots on Goal,Shots off Goal,Total Shots,Blocked Shots,Shots insidebox,Shots outsidebox,Fouls,Corner Kicks,Offsides,Ball Possession,Yellow Cards,Goalkeeper Saves,Total passes,Passes accurate,Passes %,Red Cards,expected_goals,goals_prevented,bookmaker_used,goals_over/under_over_2.5,goals_over/under_over_2.5_prob,goals_over/under_under_2.5,goals_over/under_under_2.5_prob,odds_team_win,odds_draw,corners_over_under_over_10.5,corners_over_under_over_10.5_prob,corners_over_under_under_10.5,corners_over_under_under_10.5_prob
1208740,La Liga,Athletic Club,531,away,away,0.1,0.45,0.45,False,False,True,True,-2.5,-2.5,False,4.0,3.0,9.0,2.0,5.0,4.0,12.0,6.0,3.0,39%,2.0,4.0,308.0,228.0,74%,,1.30,0.0,,,,,,,,,,,
1223884,Serie A,Venezia,517,home,draw,0.1,0.45,0.45,False,False,True,True,-1.5,-2.5,False,4.0,7.0,13.0,2.0,8.0,5.0,19.0,3.0,1.0,43%,2.0,7.0,305.0,231.0,76%,,0.71,0.0,,,,,,,,,,,
1223884,Serie A,Napoli,492,away,draw,0.1,0.45,0.45,False,False,True,True,-1.5,-2.5,False,7.0,4.0,15.0,4.0,14.0,1.0,8.0,8.0,2.0,57%,1.0,3.0,402.0,331.0,82%,,1.54,0.0,,,,,,,,,,,
1208737,La Liga,Atletico Madrid,530,home,away,0.1,0.45,0.45,False,False,True,True,-2.5,-2.5,False,2.0,4.0,7.0,1.0,4.0,3.0,10.0,6.0,2.0,34%,1.0,2.0,320.0,244.0,76%,,1.36,0.0,,,,,,,,,,,
1208737,La Liga,Barcelona,529,away,away,0.1,0.45,0.45,False,False,True,True,-2.5,-2.5,False,6.0,6.0,13.0,1.0,7.0,6.0,11.0,6.0,0.0,66%,3.0,0.0,639.0,575.0,90%,,1.26,0.0,,,,,,,,,,,
1336004,Premier League,Racing,4572,home,draw,0.35,0.35,0.3,True,True,False,False,-1.5,-2.5,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1336004,Premier League,Al Hikma,11879,away,draw,0.35,0.35,0.3,True,True,False,False,-1.5,-2.5,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1208741,La Liga,Leganes,537,home,away,0.1,0.45,0.45,False,False,True,True,-1.5,-2.5,False,4.0,2.0,10.0,4.0,7.0,3.0,16.0,3.0,4.0,35%,2.0,3.0,295.0,224.0,76%,,1.04,0.0,,,,,,,,,,,
1208741,La Liga,Real Betis,543,away,away,0.1,0.45,0.45,False,False,True,True,-1.5,-2.5,False,6.0,6.0,21.0,9.0,15.0,6.0,5.0,7.0,1.0,65%,1.0,2.0,548.0,464.0,85%,,2.69,0.0,,,,,,,,,,,
1208307,Premier League,Fulham,36,home,home,0.1,0.45,0.45,False,False,True,True,-2.5,-2.5,False,4.0,3.0,13.0,6.0,7.0,6.0,13.0,6.0,1.0,57%,,4.0,521.0,440.0,84%,,0.99,0.0,,,,,,,,,,,
